,text
784,"Welcome news!\n\nTo enable the #ModalShiftToRail needed in order to hit #NetZero many more such #BeechingReopenings are needed, as well as #HS2 + #NorthernPowerhouseRail\n\n#RestoringYourRailway\n#ReconnectingIsolatedCommunities\n#BuildingBackBetter\n\nLet's #GetPeaksAndDalesRailwayDone https://t.co/6wCBk3c5mr"
786,"We don't work on tunnels, but we are called TBM! This machinery is impressive stuff, to progress the #HS2 project over the next few years. We will, hopefully, be involved with the end product, keeping the fleet of trains looking great for passengers :-)\n\nhttps://t.co/qXH51q5LmJ"
791,"HS2 high-speed link is a catalyst for inward investment. Journey times cut, London is commutable. Rental prices ↑\n#ukpropertymarket #propertyuk #cashbuyers #birminghamproperty #offmarket #offmarketproperty #ukproperty #ukpropertyinvestments #propertyinvestinguk #buytolet #HS2 https://t.co/gyNJwEQF3L"
792,ICYMI: Largest ever #train #station in the #UK gets #building #green #light #transporthub #UK #London #HS2 https://t.co/DrrgLxWhRl https://t.co/VHJWqXFORX
796,Time for #awakening our #Soul is #awakening Time to step out of our comfort zones. Be #BraveNation be #beautiful #compassion #kindness Be at one with #nature #NaturePhotography shares the message our #ClimateEmergency stop #HS2 Protect our #trees #AncientWoodland https://t.co/iJEW9pEIQ2
801,#hs2\n@Andrew4Pendle \n\nDon’t panic Andrew Stephenson MP is on the case and will make sure Hs2 comply with all environmental and animal protection laws and assurances. https://t.co/2n4NycYN9L
812,"Thinking that @Andyshowbiz might want to see if Simon Dale-Lace is still at #HS2 Ltd, as it looks like he needs to come back on @BBC3CR and have that conversation he promised would never have to happen...... https://t.co/v5EHQ0WEaf"
816,"Weekly Wrap | “Question marks […] exist over the appropriateness of investments” in major infrastructure projects such as High Speed 2 (#HS2), Highways England’s £27.4bn #RIS2 investment plan, and #Heathrow expansion, an ICE insights report concludes https://t.co/Unwipjdkkf"
818,Can anyone suggest what I've got to do to prove and convince people that #HS2 and maybe the new runway in whichever London airport is a bad idea and that environmentalists are onto something? #ideas &amp; #suggestions welcome
833,"1/2 This is great. It effectively asks awkward questions about why, in an era of #ClimateChange and reducing #CO2 emissions, #HS2 is selling itself as a way of increasing flights https://t.co/el0HShgVyT"
837,"If the #hs2 Y network had been up and running in 2019, it would have reduced UK automotive petrol consumption that year by 0.11% (using Petrol Retailers Association and HS2 Ltd figures)\n\nhttps://t.co/xEO9ESqwOZ"
842,https://t.co/i6E5YxfHBt  Holding #HS2 to account in South Northamptonshire.\nWhat about online community engagement with @HS2ltd in Bucks @gregsmith_uk @RobBAylesbury @CherylGillan ?
845,"A number of monumental developments have been approved during Covid-19, including #HS2 Curzon Street Station &amp; the 51-storey ONE Eastside, but that's not all. Here, we take a look at those that have also been given the nod recently.\n\n#Birmingham 👉https://t.co/9H9z9pD3PN 👍 https://t.co/td0TYcvQ82"
846,"#NHS2. An improved bigger health service, with much more capacity for surge events (like Covid), for preventative medicine, and for mental health too\n\n#NHS2notHS2 #HS2"
854,Weekly Wrap | Camden resident Hero Granger-Taylor secured the right to more detailed design information on the High Speed 2 (#HS2) tunnels into Euston station following a High Court ruling earlier this week https://t.co/RwULJ4NAkX
856,The Investment Hour: Coronavirus ripple effect #HS2 - 42 mins in - fast fibre v high speed train set - know which I’d invest in for UK recovery - ⁦⁦@philjoakley⁩ #coronavirus #IChronicle  https://t.co/rdQ9jeAVCj
863,"This raises some interesting questions. I thought #HS2 important to the North’s future economy. However, now should we ask if #HS2 still makes sense? @AndyBurnhamGM https://t.co/ZeVa5lVnn4"
865,"The #coronavirus has delayed any prospect of #airport expansion by many years, which presents an ideal opportunity for planned capacity &amp; reliability improvements to the #rail network to kick in &amp; replace the need completely.\n#HS2   \n\nhttps://t.co/bVeinJTKEZ"
868,Wuhan is a transport hub #HS2 is all about turning the UK into one big Airport Hub for Europe China are behind the project  When did China know about coronavirus https://t.co/yvJitwC72s via @MailOnline https://t.co/QIUn5m6bKH
870,"1/2 Update from #HeroGrangeTaylor on the forthcoming \n#EustonApproaches #HS2JudicialReview which is due to start this Wednesday. See "" \n""Update on #HS2 must prove that their 'Euston Approaches' design is not dangerous"" @ https://t.co/cnYYgBPehU\n\nYou can get more information"
871,Why not - if its about #HS2 it doesn't have to be true to be true! https://t.co/7P2BZ1loR9
877,"🎙️ NEW PODCAST EPISODE 🎙️\n\nThis week @EstherMcVey1 talks to @ConcertNetworks @boxedred @Tash_Courtenay &amp; @FaisalButt_ about:\n\n#ai #ecommerce #hs2 #houseprices #internet #proptech #marketing #railways 🤖🚆🏠🛍️\n\nYes, we crammed a lot in 😉 \n\nSubscribe by clicking the box below!"
878,ICYMI: The hunt is on for #HS2 for #track and #precast #contractors @HS2ltd  https://t.co/Yl2fKyBrXi #trains #london #birmingham #traintrack https://t.co/lrwSlcFJ5a
880,#HS2 is all about the 3Cs. \n\nA low CARBON #transport network. \nMore CAPACITY across the country’s #rail network. \nBetter CONNECTIVITY in the #Midlands and #North helping rebalance the #economy. https://t.co/tCdUM4GBE3
881,New focus on ditching #HS2 in favour of ending internet poverty by investing in high speed broadband for all...the latest @bluecollartory_ podcast by @EstherMcVey1 https://t.co/sa4zdFcXre
883,"Debriefs and reviews of past commissions has us looking at what makes projects succeed or fail. This @ucl study of megaprojects, including #Crossrail, #HS2, and Daxing Intl Airport (Beijing), is great #projectmanagement learning. Our ICC #Sundayread...\n\nhttps://t.co/Sy7r9Y4qRQ"
884,COVID-19 is changing the debate around #HS2. \n\nTune into @bluecollartory_’s podcast with our amazing MP supporter @EstherMcVey1  to hear more about the way technology is impacting the way we travel in the future.\n\n🎙Listen below!👇\n\nhttps://t.co/55JWOwneZl https://t.co/9wetaIox0X
885,"It may not be so popular in the grassroots membership, but #HS2 is absolutely necessary to boost economic growth &amp; decrease regional inequalities\n\n@HS2ltd will boost capital investment in the regions\n\nPart of the #OneNation 'level-up' agenda must include increasing connectivity https://t.co/eUdCNRfZnW"
890,"2010 ""#HS2 won't be concreting over the countryside it will be on ballast"" Virtually all of this concrete will need importing  https://t.co/pFbRzYlf9N https://t.co/FZbNYu03dL"
891,Tomorrow (11/05/2020 -7.30pm) we are joking voices and forces for a word from amazing #community #campaigners to hear their experiences of taking on #bigindustry and how we can prepare for the battle with #hs2 please join us https://t.co/riT5QKtaNv https://t.co/Hh4mGl4H63
895,"Re your claim about having to import concrete for #HS2? Not it seems for the #HS2Phase2a section. See this article    ""Noise and traffic concerns over plan for new quarry to supply concrete for HS2 rail project"" @ https://t.co/MoXVzOYhDE\n\nIts true though #CemexUK is foreign owned https://t.co/U4w6uGC1xV"
898,Is #HS2 now really fit for purpose? How much of a boost would the economy receive if just a fraction of the £100B HS2 budget was used instead to speed up  #FTTP deployment and increase 4G and 5G coverage\n\n#workfromhome
899,".@jordanbhx It's not important who we are, what's important is the message. We keep a record of information about the #HS2 project, and if you check our website you will see that all sources are referenced. So while facts are of course changeable, we  do our best to source check."
900,High Speed Trains or High Speed Broadband?\n\n#COVID19 has changed everything.  So do we now need to reprioritise our infrastructure spending? \n\nClick the box below to join the debate!\n\n#ai #ecommerce #hs2 #houseprices #internet #proptech #propertymarket #marketing #railways
902,This isn’t an either-or-situation. We need to do both; develop #UKBroadband and invest in our railways for which #HS2 is vital. https://t.co/fNuujQe9V0
907,"So we can travel to work in cars, but please clarify. That doesn't surely mean 3 and 4 from different house holds car sharing as #HS2 Workers do? #prerecorded @BorisJohnson"
911,Thanks to @NTI26637228 we now know there’s really only one transport infrastructure worth it. It has to be #hs2 as it’s the only piece of transport he ever tweets about. He loves it.
914,"Railways linking Cardiff and London to Manchester, and an onward section to Glasgow, Belfast and Dublin would be a dramatic demonstration of commitment to re-Uniting the Kingdom. #HS2 https://t.co/IhSh6nNpbh"
920,"You can choose which of these inspirational women, nominated by school pupils, will have a #HS2 tunnel boring machine named after them. The machines will excavate tunnels in dense urban areas to reduce environmental impacts. Find out more and vote: https://t.co/ZLYhH18yXq https://t.co/liNXUPwBD2"
926,"You would have thought grassroots action like this that promotes a radical reimagining of our cities for a healthier &amp; more sustainable future is what @XRebellionUK would be doing right now but instead they're in some trees protesting a high capacity, low carbon railway. #HS2 https://t.co/rtpEJNw2D6"
930,#HS2 bat roost survey In Daylight hours Guess how many bats they will count https://t.co/936lkr067t
942,"#hs2\n⁦@grantshapps⁩\n⁦@tonyberkeley1⁩ \n\n""with significant reforms to ensure the project is delivered in a more disciplined and transparent manner.”\n\nHow about starting with publishing the detailed breakdown of the budget for phase 1?\n https://t.co/x3cCwAEgbq"
943,A very good morning to you all. Here's our round up of the news this Sunday.\n\n#HS2 #RoyalFamily #classrooms #schools #pubs #theeconomy #LordSumption #FurloughScheme \nhttps://t.co/bx0Sgd5Akk
945,#pubrooms supporting great British Pubs :) RT @KathyConWom: A very good morning to you all. Here's our round up of the news this Sunday.\n\n#HS2 #RoyalFamily #classrooms… https://t.co/H4eZ8F96Fd
946,HS2 will not link up “the north” it’s going as far as Manchester. There’s over 300 miles of the north beyond Manchester before you hit Scotland 🙄 #skynews #HS2
947,#hs2 needs 1/2 a new nuclear power station to run it.....we are paying through our energy bills to fund it’s energy needs! https://t.co/Aq95L2UHW4
957,"https://t.co/Te5wXTq7Kf\nA friend just shared this on fb, with no link to the actual report 🙇🏻‍♀️. Do any of you guys have anything on this I can get back to him with please? Thank you, and good morning :)\n@GarethDennis @Greens4HS2 @DrSextonGreen @XR4HS2 @SimonZev @pedrojuk \n#HS2"
968,#HS2 was about being able to race to London for those all-important sales meetings. Only we live in a zoomiverse now so it is even more redundant than it was when first commissioned...  https://t.co/xM1ZjZc7r4
981,"SO NOW\n@BorisJohnson @Conservatives @grantshapps @UKParliament @UKLabour\nWHAT'S YOUR EXCUSE FOR NOT CANCELLING #HS2 ?\nA FULL, TRULY INDEPENT INQUIRY IS DEMANDED BY THE PUBLIC INTO THIS CRIMINAL PROJECT CALLED #HS2 https://t.co/UhgTNyVumr"
984,"Further Proof that HS2 Ltd believes in Rainbows, forgetting that Rainbows, even double ones, fade away leaving nothing but a rosy memory behind. The Only memory I need is the HS2 rainbow fading away to nothing. #HS2 @edwardtimpson @EstherMcVey1 @EdwardJDavey @Keir_Starmer @mcahs2 https://t.co/EFasUb1bAh"
1001,"#HS2 ’s costs and potential delays are running out of control, warn MPs | UK news | The Guardian\n\nOddly enough, in his lavish praise of transport achievements during lockdown at a recent #DailyBriefing #GrantShapps didn’t mention this.  https://t.co/1Ndv57Ru36"
1010,"Read our report this morning on #HS2 #HighSpeed2:  ""badly off course"" with the Committee demanding a regular ""honest, open account"" from @DfTstats &amp; @HS2ltd  and\n""evidence of learning from past mistakes being applied to bring this project under control""👇🏽\nhttps://t.co/Hd4D43Ijo5 https://t.co/XqvJPNKWqC"
1014,"#NorthernPowerhouseRail tunnel under #Manchester: best way to relieve rail congestion between #Deansgate &amp; #Piccadilly, along with #HS2 route https://t.co/dTOppBY8lI"
1019,We support #HS2 because it's a vital investment in our zero-CO2 future. That doesn't mean we agree with the way @HS2Ltd and @transportgovuk have been managing it. The Transport Select Committee have reported on its recent consultation on #HS2 (here: https://t.co/8jrEDi7YSA). /1
1021,#HS2 Hero Granger Taylor’s remains cautiously optimistic on the result of her High Court challenge against HS2 Ltd on the Euston approach \n\nhttps://t.co/70ikWPjv2H
1034,"Ah, the mandarins carry out value for money checks 😅😅 would love to know value found in #HS2 #grantshapps"
1037,Senior government officials covered up the crisis facing HS2 just as plans for the project lurched “badly off course”: https://t.co/JyPctWtXlm #HS2
1039,"HS2 'badly off course' with bosses 'blindsided', MPs say via @BBCNews https://t.co/9qxC4ESQzx\n#UK #Scotland #NI #Wales #England #politics #PoliticalParties #MPs #Parliament #Westminster #transport #railways #HS2 #economy #infrastructure"
1050,"Do we really need #HS2 ?  I’m only asking because we seem to be finding new ways of communicating without long-distance travel.  After #Covid19UK , life is never going to be the same again ... https://t.co/GGeIy2HFuk"
1053,So why did the Government announce #HS2 notice to proceed without waiting for this report ?  @grantshapps @Andrew4Pendle https://t.co/alHD38HOpp
1057,"So where can I find the latest alignment and elevation maps for #HS2 Phase 1? The latest one I have for my area is dated 28/09/2015, and marked Code 1 - Accepted but doesn’t have elevations… Can’t see them on web site"
1061,How about speeding up payments to property owners?\n\n#HS2 to pay suppliers ‘early as possible’ https://t.co/OTo1WQNjSm
1064,"The chief executive of #HS2 Ltd, which lies to Parliament and to taxpayers, is the highest paid public-sector manager in the country.\n\nhttps://t.co/0L1QGK9hg3"
1068,I'm thinking of building a high speed canal between London &amp; Birminghan to compete with #HS2. @BorisJohnson who do I ned to talk to get a  government hand out for it? Happy to split whatever is on offer 50/50 😉
1080,"Hello is that the Ministry of #HS2 truth?\n\nLet's hope that spurious association lends you some credibility!\n\nBut, how about a competition to name the latest scandal after your favourite historical con artist?\n\nSleep soundly knowing how essential your PR work is! https://t.co/rw6aBch1Ej"
1103,Current policy by @grantshapps .... last weekend launch major expenditure to encourage more cycling in UK.....to soften us up for more road building this weekend! #hs2
1115,So glad someone cares! #MondayMotivaton #hs2\nBBC News - HS2 protesters spending coronavirus lockdown in trees\nhttps://t.co/HrALXkNybt
1123,Wonder what the comms team have come up with today? \n\n#stayathomesavelives #getwellboris \n#HS2alltheway #HS2\n#BorisJohnson\n#sackcummimgs #Covid19 #astroturfing https://t.co/9jTTUkJlrY
1127,And they tell us that #HS2 is a good idea that will come in on budget &amp; on time.\n\nLaughable. https://t.co/uJBhpDjiCT
1129,"Planning approved for HS2 station set to be largest newly built station https://t.co/Hsi0Ufnyb5 via @RTMNews Planning for the post-Covid world, more personal space, more hygienic facilities, we need this new railway. #HS2 - we're getting it done."
1132,What they should really worry about is whether there will be any #hs2 passengers to socially distance. Target passengers are just those who want to keep working from home.\n\n#HS2 mega-station: experts split on coronavirus impact https://t.co/dTjHoRttpH
1139,HS2 gets planning permission for Curzon Street station https://t.co/Al9O96h2Rn\n\n#curzonstreetstation #HS2 #Constructionnews https://t.co/tKZJ1JqGgO
1143,"We also feature: #HS2 CEO on rail sector need to attract more young employees, @MottMacDonald on its VR tool Rehearsive, train companies helping save lives,@greateranglia new fogging guns, and @GC_Rail consults passengers as plans to return gather steam. https://t.co/iHnOFSS4AR"
1144,The hunt is on for #HS2 for #track and #precast #contractors @HS2ltd https://t.co/dAJYI53Y8S #trains #london #birmingham #traintrack https://t.co/RnJSMmHI8m
1146,"Two thirds of all contracts on #HS2 go to small and medium sized businesses, creating thousands of skilled jobs across the country. The benefits for #British business are here and now. Find out more about contract opportunities across the HS2 supply chain: https://t.co/5kWVJVRiMP https://t.co/bRlPcACu7i"
1148,"As part of Britain’s largest #infrastructure project, @EaveWork partnered with @CostainGroup @SkanskaGroup (CSJV) on the @HS2ltd #construction site. Read the full article on @ConstructMgrMag: https://t.co/6ic1l43Wco #hs2 #noise #ppe #hearingprotection https://t.co/yGp7KgEWFL"
1152,"#HS2 Petition now reached 30k, keep voting, keep retweeting &amp; keep sharing\n\nhttps://t.co/TG9HUnZ9Vr"
1153,"thank the gods, its about time. next task #HS2 ...  \n\nBombastic Boris meets his match in forensic Starmer at #PMQs | John Crace https://t.co/m9lb3B6duF"
1158,"The new #HS2 station, to be built near Solihull &amp; the NEC, has become the first railway station globally to achieve the #BREEAM ‘Outstanding’ certification.\n\nRead more ➡️ https://t.co/NqQVGYYtTM\n\n#sustainabledesign #sustainablearchitecture   #sustainableconstruction https://t.co/nab7TigNu1"
1159,"1/3 This letter from the #HS2Minister to questions raised during the #HoC #TransportSelectCommittee hearing on Progress with #HS2 contains the following statement "" In line with industry best practice, habitat clearance for HS2 works will be conducted outside of the https://t.co/eiYCrcv4Gp"
1165,"With many sites expected to reopen, we can help with your project requirements.\n\nCheck out our website here -&gt; https://t.co/FtLq2qk8zo\n\n#groundprotection #HS2 #temporaryaccess #heavydutymats #construction #CivilEngineering https://t.co/3JgrfwtlQ8"
1170,Balfour Beatty VINCI Announces Appointment of New #Managing #Director to Lead its HS2 Joint #Venture https://t.co/KQgccVlT1g #hs2 #construction
1172,“HS2 is just 20 minutes quicker to #Birmingham” is a well-trodden myth. #HS2 will transform the UK with the 3Cs: More CAPACITY across the country’s #rail network. A low CARBON #transport network. Better CONNECTIVITY in the #Midlands and #North. https://t.co/rJM55qS0XZ
1173,The hunt is on for #HS2 for #track and #precast #contractors @HS2ltd  https://t.co/dAJYI53Y8S #trains #london #birmingham #traintrack https://t.co/5qQDlV570m
1174,HS2 has a projected maintenance cost in excess of £100m - imagine if robots were programmed to maintain &amp; fix this rail network?\n.\n#Robotics #coding #Robotech #collaborativerobots #automation #HS2 @HS2ltd
1175,More U Turns  or should we call it a 3 point turn as he has backtracked on 3 decisions. Come on @BorisJohnson make it 4 and CANCEL #HS2 https://t.co/DfVVDOaQSd
1180,JOBS OF THE DAY - \n\nApply below:\nhttps://t.co/SZg8KtLVI9\n\n#rail #railways #railindustry #news #newsoftheday #industrynews #recruitment #careers #jobs #hs2 #london #birmingham #commercialmanager #systemsafetyinterfaceengineer #headofhealthsafetyenvironment https://t.co/arLig3WQLV
1181,JOBS OF THE DAY - \n\nApply below:\nhttps://t.co/HHDk9AyTdV\n\n#rail #railways #railindustry #news #newsoftheday #industrynews #recruitment #careers #jobs #hs2 #london #birmingham #commercialmanager #systemsafetyinterfaceengineer #headofhealthsafetyenvironment https://t.co/XQOhouMozH
1182,JOBS OF THE DAY - \n\nApply below:\nhttps://t.co/jAGLwvo5c8\n\n#rail #railways #railindustry #news #newsoftheday #industrynews #recruitment #careers #jobs #hs2 #london #birmingham #commercialmanager #systemsafetyinterfaceengineer #headofhealthsafetyenvironment https://t.co/4FalJg0Lgq
1185,"New evidence of ther #HS2NonSocialDistancingVirus spreading in #Buckinghamshire "" UPDATED: #HS2 caught breaking #Coronavirus public health guidelines multiple times in #Bucks"" @ https://t.co/iP3kYFM2Gk\n\nAny comment #HighSpeedRailGroup\n@HSRailGroup ? \n·"
1191,The hunt is on for #HS2 for #track and #precast #contractors @HS2ltd  https://t.co/dAJYI53Y8S #trains #london #birmingham #traintrack https://t.co/R5DdRwCKzp
1192,Are you looking for role as a Managing #QuantitySurveyor or #SeniorQuantitySurveyor on a #HS2 project? Do you want to work for a #contractor that will give you #autonomy and responsibility in managing a major portfolio of work? #ApplyNow https://t.co/lqjFpJHxO6\n#QSjobs #jobs https://t.co/4Q6qIfjjO9
1199,Daily #engineering and #construction briefing:\n- #Tunnelling techniques scrutinised as #HS2 court case starts https://t.co/CnxuNVA83s\n- State to take control of #Florida bridge replacement https://t.co/gSZYhjpDxQ\n- #Infrastructure mindset shift needed https://t.co/IELITzPnh1
1201,"3bed property for rent in Dudley £900 pcm #propertytorent ,#Dudley, #3bedroom ,#2receptions #largegarden front and back close to #HS2 ,#FamilyHome, or #Businesslet, #Shortterm, #newlyRefurbished , #moderm ,#immaculate ,#contactus ,#StPaulsltd https://t.co/ydtRXrw5n2"
1222,"I think it's fair to say, as my girls struggle to download their schoolwork, that the grand infrastructure project that would give the greatest joy to the greatest number is not #HS2 or a new runway at Heathrow, but faster broadband speeds for everyone."
1225,Not much room to work in for Robertson Geo on site investigation on project - https://t.co/w26WtzWm2k\n\n#Aspermont #HS2 #workinginaconfinedspace #siteinvestigation #M25 #MiniWinch
1233,"NCE June digital edition is OUT NOW - featuring the future of #airports, #HS2 notice to proceed and the latest impact of the #coronavirus. Read here:\nhttps://t.co/Ubrl5o0KfI"
1240,"Looking at the recent hype from #HS2 is like reading of the coming of the messiah it is going to do so many wonderful things. It will single handedly wipe out unemployment, create a forward looking UK, give the Country something to be proud of &amp; line the pockets of Big Business."
1243,Thanks to @GrBhamChambers for hosting a virtual roundtable discussion with the @NatInfraCom on the delivery of #HS2\n\nWe must work together to get this right\n\n📈Creating jobs and development opps\n🚄Maximising connectivity UK-wide \n🏗️Building a rail network fit for the next century https://t.co/sypAQUlK7F
1254,#HS2 Ltd has instructed its #tierone contractors that they must pay suppliers immediately on receipt of invoice and not wait until the end of the month (or worse) https://t.co/IdyErvSKFm #CivilEngineering #engineering #civils #railnews via @TCIndex https://t.co/8KWG7l91oU
1256,"High Speed 2 (HS2) chief executive Mark Thurston has admitted that the megaproject’s stations and trains may have to be redesigned to factor in people’s travel habits in a ""post-coronavirus world""...\n\nhttps://t.co/GKv1BvFurW #Rail #Transport #HS2 https://t.co/iI2OKWehPN"
1259,"Very good ‘roundtable’ today with @NatInfraCom and a selection of regional stakeholders on the delivery of #HS2. \nThis critical project has become even more crucial in light of #COVID19, and @GrBhamChambers &amp; other partners will continue to input and help shape it. #HS2alltheway https://t.co/mSx67HyRX5"
1262,"BBC: “Transport Secretary Grant Shapps said he was ""optimistic"" of finding a solution.”\n⁦⁦@grantshapps⁩ “We don't know what the long-term will be. But in the short-term trains and buses will continue to run”\n⁦@Andrew4Pendle⁩ time to bin #HS2 https://t.co/jeYnZVkfFm"
1266,"But hey don’t worry, there will be more than enough for #HS2 #DowningStreetBriefing"
1267,No exactly the sharpest tools in the box. #HS2 https://t.co/JvBljELoXs
1275,"Old Oak Common station given approval... ""the largest new railway station ever built in the UK"" #HS2 @railwaygazette: https://t.co/idaIrJc3Is"
1278,"Old Oak Common, one of the new #stations being build for #HS2, has received planning approval. Work will begin in June 2020. https://t.co/rWh7vel85V"
1279,#HS2 despite complaints heavy lorries from construction sites still using a single track hatted road as main part of their route unbelievable!!
1282,"Absolutely preposterous 😆 @balfourbeatty⁩ were apparently awarded £1bn contract last year to build the #HS2 station that was only granted town planning consent yesterday, supposedly! That consent having been granted by the authority created to build it https://t.co/kNk3BOvSlu"
1285,I assume that you are referring to Obfuscator in Chief Bernadette Kelly? Yes Minister script being utilised methinks. @edwardtimpson @Keir_Starmer @EdwardJDavey @stophs2 @mcahs2 @NetsNot @HS2theTruth #HS2 https://t.co/hbazGHVJpq
1286,"LEP agrees £3.8m funding for Chesterfield Station Masterplan\n\n""another important milestone for Chesterfield’s regeneration ambitions""\n\nhttps://t.co/PmYcDaafdu\n\n@D2N2LEP @D2N2GrowthHub \n@ChesterfieldBC @Derbyshirecc #Station #Regeneration #LEP #Economy #HS2 https://t.co/cQauN6j5pt"
1288,"1/2 Why investing in #WaterInfrastructure and not so much on #TransportInfrastructure such as #NorthernPowerhoseRail / #HS2 might be a better bit of 'levelling up' for the #NorthofEngland. See #NewStatesman "" Keeping water at the"
1292,"We're delighted to announce our first FREE webinar. Join us on Thurs 4 June at 11am for exclusive chat with Tier 1 contractor, BBV JV @balfourbeatty @VINCI appointed to build #WestMidlands section of @HS2ltd's Phase One route. Booking open 👇👇\nhttps://t.co/5jrYemAQhs\n#SMEs #HS2 https://t.co/hS11J5aawB"
1293,"HS2’s west-London super hub, Old Oak Common, has had its planning application approved by the Old Oak and Park Royal Development Corporation.\n\n#HS2\n\nhttps://t.co/YkqbnCQZ8V"
1297,"Gareth is the HS2 Messiah, miracles by request. A little knowledge is dangerous but Gareth your role in encouraging Splinter Groups such as Greens4HS2 is well known.  Or maybe Gareth is the Alice in HS2 Wonderland, that delightful fairy story with no substance. #HS2 @mcahs2 https://t.co/UQ1av1aNEI"
1298,Which UK train station is the current biggest and what is going to be bigger - we look at the shape and scale of things to come in the UK.\n\nhttps://t.co/Kvs8HzpUz5 \n\n#HS2 #Constructiom #Progress #EquipmentHire
1301,#hs2\n\nA good start would be a detailed breakdown of the £40bn for Phase 1 and whether that includes Euston and current phase 2a.\n\n‘Next steps for HS2’ - publication of correspondence - News from Parliament - UK Parliament https://t.co/OtwwaVsbCw
1305,The global lockdown continues and so does delivery of GDI's weekly #eNewsletter  - https://t.co/vh3d62e1xs\n\n#Subscribe to get your regular newsletter - https://t.co/FC0TJgDZiX\n\n#Aspermont #holedeviation #soilsamplingrig #pumps #newfacility #HS2 #TBMs #slurrymixing #marinedrilling
1306,#HS2 is about so much more than just making journeys faster. Capacity and connectivity are at the centre of the entire project. https://t.co/zzfePMBQzC
1307,"🚄Read two letters we have published on HS2 addressed to @HS2ltd and Minister for HS2 @Andrew4Pendle \n\nThe letters touch upon issues of transparency, social distancing, biodiversity loss and more...\n\n📝Find out more and read the letters here: https://t.co/pYXdzKiOAY\n\n#HS2 https://t.co/kVS0cI4bg1"
1308,#HS2 Every one saying how much they enjoy working from Home.\nPlease Remind me why we need HS2 to desimate our Countryside
1309,"#AskRishi New, efficient ways of working will be the norm in our post-lockdown world. The daily commute will ease and long distance travel will reduce as those who can work from home, will work from home. When can we expect confirmation that obsolete #HS2 is being scrapped?"
1310,A very informative #PolicyHour session with #hs2 this week for @cwchamber \n\nA chance for businesses to hear about supply chain contract opportunities with the project\n\nhttps://t.co/WH8uFhkkFx\n\nAnother webinar is taking place on 4th June with @FinditinCW - https://t.co/L3rDTobH68 https://t.co/8U1gEWf0Wl
1312,The Department for #Transport (DfT) says that Sir Mark Worthington will oversee #HS2 Phase 2a from the West Midlands to Crewe in his role as independent construction commissioner. https://t.co/Lx3o37ak4R
1313,Looks like our wonderful Twitter followers want to see HS2 scrapped. There's still time to vote....visit our website too https://t.co/7L3Int6mas #coronavirus #ThursdayMotivation #HS2 https://t.co/EUR9wJiGkn
1315,#HS2 Interchange station in #Birmingham has become the first railway station to get top award for environmentally friendly design: https://t.co/MAQMdEBtF7
1319,"Due to HS2 works, a shuttle bus service will run between Gore Hill/A355 Tesco bus stops and Amersham Hospital from 18th May – 4th July, Mon-Sat 7.30am-6pm every half hour &amp; Sunday every hour from 7.49am–6.30pm. More info here: https://t.co/BoR5bE61Eg\n#HS2 #Bucks #carers https://t.co/97zITVR2Ha"
1320,#HS2 have you voted https://t.co/3RcsedXCrJ
1325,"hey remember when candy rose said to john\nthat this was ""the best life she ever had""(well she didn't actually say that but it was smthn like that),\nwell it ain't know-\n#homestuck2 #homestuck #HS2 #roselalonde"
1328,"a bunch more trans girl tavvy edits !! retweet/like if you plan on using, and credit is appreciated :) [ #homestuck2 #hs2 ] https://t.co/GwLur8MynF"
1337,Just incase you didn't realise NPP say 50% of Northerners want new road and rail schemes ergo  they want #HS2 and for example roads for Peel ports. \n\nNot sure of the latter but does the evidence point to HS2 support? https://t.co/yonud7zDw4
1338,#TfL and #train operators are being urged by rail industry leaders to follow #HS2 and @networkrail lead on supply chain engagement.\n\nRead more in this @ncedigital article: https://t.co/vZyRAF0dye\n\n#UKRail #Rail #RailIndustry https://t.co/kHB0wfCrGl
1347,"1/2 A bit of a change of tune for 'ol Jim all of a sudden. \nBack in 2009 wasn't he advocating a £69bn #HS2 North / South line between #London and #Scotland, nothing about an urgent #Transpennine route then. Or have I got my facts wrong. See "" #Greengauge21 unveils https://t.co/sHZqEpnOJw"
1349,MPs have written to HS2 minister Andrew Stephenson demanding that the government is honest with Parliament over the project. Pigs might fly.  https://t.co/DUFFKccRw1 #HS2
1354,Still a deathly silence from Kier Starmer @UKLabour who no longer seems to have a twitter page.\nIs it so hard to let us tge Public know where you stand on #HS2 ? https://t.co/0XILrjDW23
1357,This is more misleading information It is a fact the UK can not produce a fraction of the products needed for construction of #HS2 Just because you have something with a registered UK address label on it does not mean it is British made or supplied https://t.co/xEL0bDYNGr
1360,"The #HS2 project continues to split opinion, but the additional capacity it generates and flexibility to utilise existing lines for more #freight should no be overlooked - if the loading infrastructure is included in investment plans. https://t.co/55A574XHko"
1362,#HS2 has all party support in #Broxtowe #Notts &amp; that needs to gear up to get fully behind this important project.\n\nEven tho he indicated he was against #HS2 I’m sure     @DarrenG_Henry will champion it at Toton Sidings \n\nhttps://t.co/sAO86hdG8o
1363,NEWS! £2.7bn transport plans to boost east Midlands links to #HS2 unveiled. Read more here: https://t.co/PUtmhlULLF @ACE_Updates @EICUKtweets @midsengine @MidsConnect @HS2ltd
